,type_appartement,nombre_pièces,nombre_chambres,surface,étage,terasse,ascenceur,prix_achat,credit,localisation,description
2679,Appartement,3,2,78.0,,non défini,non défini,380000,1575,Lyon 3ème,Sauvegarder
2680,Appartement,4,3,88.0,,non défini,non défini,459000,1900,Lyon 7ème,Sauvegarder
2681,Appartement,2,1,46.0,,non défini,non défini,230000,957,Lyon 7ème,Sauvegarder
2682,Appartement,2,1,63.0,,non défini,non défini,342300,1420,Lyon 2ème,Sauvegarder
2683,Appartement,5,2,153.0,,non défini,non défini,1095000,4521,Lyon 6ème,Sauvegarder
2684,Appartement,8,4,230.0,,non défini,non défini,1690000,6973,Lyon 2ème,Sauvegarder
2685,Appartement,5,1,98.0,,non défini,non défini,525000,2172,Lyon 8ème,Sauvegarder
2686,Appartement,1,1,27.0,,non défini,non défini,195000,813,Lyon 4ème,Sauvegarder
2687,Appartement,2,1,56.0,,non défini,non défini,285000,1183,Lyon 5ème,Sauvegarder
2688,Appartement,3,2,65.0,,non défini,non défini,342000,1418,Lyon 9ème,Sauvegarder
2689,Appartement,3,2,63.0,,non défini,non défini,445000,1843,Lyon 2ème,Sauvegarder
2690,Appartement,5,4,110.0,,non défini,non défini,679000,2807,Lyon 5ème,Sauvegarder
2691,Appartement,4,3,109.0,,non défini,non défini,595000,2461,Lyon 1er,Sauvegarder
2692,Appartement,2,1,53.0,,non défini,non défini,234000,973,Lyon 4ème,Sauvegarder
2693,Appartement,3,2,68.0,,non défini,non défini,238900,993,Lyon 8ème,Sauvegarder
2694,Appartement,5,4,126.0,,non défini,non défini,599000,2477,Lyon 3ème,Sauvegarder
2695,Appartement,1,,14.0,,non défini,oui,76000,322,Lyon 7ème,Sauvegarder
2696,Appartement,3,2,66.0,,non défini,non défini,304000,1262,Lyon 8ème,Sauvegarder
2697,Appartement,4,3,132.0,,non défini,non défini,1142000,4715,Lyon 8ème,Sauvegarder
2698,Appartement,4,3,84.0,,non défini,non défini,375000,1554,Lyon 3ème,Sauvegarder
2699,Appartement,4,3,85.0,,non défini,non défini,440000,1822,Lyon 8ème,Sauvegarder
2700,Appartement,5,4,114.0,,non défini,non défini,650000,2687,Lyon 4ème,Sauvegarder
2701,Appartement,2,1,36.0,,non défini,non défini,208000,866,Lyon 8ème,Sauvegarder
2702,Appartement,6,3,185.0,,non défini,non défini,1400000,5778,Lyon 2ème,À voir sur Belles Demeures
2703,Appartement,7,4,149.0,,non défini,non défini,950000,3924,Lyon 8ème,À voir sur Belles Demeures
2704,Appartement,2,1,46.0,,non défini,non défini,320000,1328,Lyon 5ème,Sauvegarder
2705,Appartement,4,3,108.0,,non défini,non défini,485000,2008,Lyon 8ème,Sauvegarder
2706,Appartement,2,1,48.0,,non défini,non défini,335000,1389,Lyon 2ème,Sauvegarder
2707,Appartement,4,3,118.0,,non défini,non défini,725000,2997,Lyon 4ème,À voir sur Belles Demeures
2708,Appartement,4,3,141.0,,non défini,non défini,995000,4109,Lyon 2ème,À voir sur Belles Demeures
2709,Appartement,4,3,101.0,,non défini,non défini,745000,3079,Lyon 9ème,Sauvegarder
2710,Appartement,3,2,77.0,,non défini,non défini,405479,1680,Lyon 9ème,Sauvegarder
2711,Appartement,2,1,47.0,,non défini,non défini,370000,1534,Lyon 9ème,Sauvegarder
2712,Appartement,3,2,54.0,,non défini,non défini,300000,1245,Lyon 4ème,Sauvegarder
2713,Appartement,5,3,147.0,,non défini,non défini,1380000,5696,Lyon 6ème,À voir sur Belles Demeures
2714,Appartement,4,3,86.0,,non défini,non défini,797000,3293,Lyon 8ème,Sauvegarder
2715,Appartement,2,1,44.0,,non défini,non défini,339000,1406,Lyon 5ème,Sauvegarder
2716,Appartement,3,2,64.0,,non défini,non défini,305000,1266,Lyon 3ème,Sauvegarder
2717,Appartement,5,4,163.0,,non défini,non défini,1085000,4480,Lyon 6ème,À voir sur Belles Demeures
2718,Appartement,4,3,135.0,,non défini,non défini,897000,3705,Lyon 6ème,Sauvegarder
2719,Appartement,1,,19.0,,non défini,oui,90000,380,Lyon 7ème,Sauvegarder
2720,Appartement,5,3,119.0,,non défini,non défini,579000,2395,Lyon 6ème,Sauvegarder
2721,Appartement,3,1,88.0,,non défini,non défini,395000,1637,Lyon 9ème,Sauvegarder
2722,Appartement,4,3,85.0,,non défini,non défini,797000,3293,Lyon 8ème,Sauvegarder
2723,Appartement,3,2,76.0,,non défini,non défini,551000,2280,Lyon 8ème,Sauvegarder
2724,Appartement,3,2,90.0,,non défini,non défini,840000,3470,Lyon 1er,Sauvegarder
2725,Appartement,4,2,86.0,,non défini,non défini,649000,2683,Lyon 2ème,Sauvegarder
2726,Appartement,4,3,118.0,,non défini,non défini,799000,3301,Lyon 2ème,Sauvegarder
2727,Appartement,2,1,31.0,,non défini,non défini,153000,640,Lyon 6ème,Sauvegarder
2728,Appartement,5,4,143.0,,non défini,non défini,990000,4089,Lyon 5ème,À voir sur Belles Demeures
2729,Appartement,3,2,84.0,,non défini,non défini,328000,1361,Lyon 5ème,Sauvegarder
2730,Appartement,6,4,137.0,,non défini,non défini,590000,2440,Lyon 9ème,Sauvegarder
2731,Appartement,3,2,67.0,,non défini,non défini,464000,1921,Lyon 5ème,Sauvegarder
2732,Appartement,4,3,98.0,,non défini,non défini,650000,2687,Lyon 6ème,Sauvegarder
2733,Appartement,3,2,84.0,,non défini,non défini,285000,1183,Lyon 7ème,Sauvegarder
2734,Appartement,4,3,105.0,,non défini,non défini,790000,3264,Lyon 6ème,Sauvegarder
2735,Appartement,4,3,120.0,,non défini,non défini,990000,4089,Lyon 2ème,À voir sur Belles Demeures
2736,Appartement,7,4,149.0,,non défini,non défini,950000,3924,Lyon 3ème,À voir sur Belles Demeures
2737,Appartement,2,1,49.0,,non défini,non défini,259000,1076,Lyon 3ème,Sauvegarder
2738,Appartement,3,2,65.0,,non défini,non défini,329000,1365,Lyon 3ème,Sauvegarder
2739,Appartement,4,3,81.0,,non défini,non défini,255000,1060,Lyon 5ème,Sauvegarder
2740,Appartement,3,2,83.0,,non défini,non défini,438900,1818,Lyon 1er,Sauvegarder
2741,Appartement,3,2,105.0,,non défini,non défini,730000,3017,Lyon 1er,Sauvegarder
2742,Appartement,5,3,120.0,,non défini,non défini,540000,2234,Lyon 6ème,Sauvegarder
2743,Appartement,3,2,181.0,,non défini,non défini,819000,3384,Lyon 3ème,À voir sur Belles Demeures
2744,Appartement,4,3,93.0,,non défini,non défini,388000,1608,Lyon 9ème,Sauvegarder
2745,Appartement,2,1,42.0,,non défini,non défini,199000,829,Lyon 3ème,Sauvegarder
2746,Appartement,4,3,94.0,,non défini,non défini,680000,2811,Lyon 6ème,Sauvegarder
2747,Appartement,3,2,72.0,,non défini,non défini,370000,1534,Lyon 3ème,Sauvegarder
2748,Appartement,6,5,140.0,,non défini,non défini,1133000,4678,Lyon 6ème,À voir sur Belles Demeures
2749,Appartement,2,2,40.0,,non défini,non défini,320000,1328,Lyon 1er,Sauvegarder
2750,Appartement,5,3,78.0,,non défini,non défini,255000,1060,Lyon 5ème,Sauvegarder
2751,Appartement,4,2,125.0,,non défini,non défini,545000,2255,Lyon 1er,Sauvegarder
2752,Appartement,4,3,84.0,,non défini,non défini,393000,1628,Lyon 6ème,Sauvegarder
2753,Appartement,4,3,95.0,,non défini,non défini,650000,2687,Lyon 3ème,Sauvegarder
2754,Appartement,5,4,126.0,,non défini,non défini,1147435,4737,Lyon 2ème,Sauvegarder
2755,Appartement,4,3,98.0,,non défini,non défini,680000,2811,Lyon 6ème,Sauvegarder
2756,Appartement,6,5,183.0,,non défini,non défini,920000,3800,Lyon 7ème,Sauvegarder
2757,Appartement,3,2,78.0,,non défini,non défini,290000,1204,Lyon 3ème,Sauvegarder
2758,Appartement,4,2,90.0,,non défini,non défini,447000,1851,Lyon 3ème,Sauvegarder
2759,Appartement,5,3,136.0,,non défini,non défini,1790000,7385,Lyon 2ème,À voir sur Belles Demeures
2760,Appartement,5,4,142.0,,non défini,non défini,735000,3038,Lyon 3ème,Sauvegarder
2761,Appartement,3,2,71.0,,non défini,non défini,405600,1680,Lyon 3ème,Sauvegarder
2762,Appartement,2,1,60.0,,non défini,non défini,320000,1328,Lyon 1er,Sauvegarder
2763,Appartement,4,3,113.0,,non défini,non défini,640000,2646,Lyon 5ème,Sauvegarder
2764,Appartement,4,2,96.0,,non défini,non défini,720000,2976,Lyon 6ème,À voir sur Belles Demeures
2765,Appartement,3,2,67.0,,non défini,non défini,388500,1610,Lyon 9ème,Sauvegarder
2766,Appartement,4,3,86.0,,non défini,non défini,390000,1616,Lyon 3ème,Sauvegarder
2767,Appartement,3,2,63.0,,non défini,non défini,363900,1509,Lyon 5ème,Sauvegarder
2768,Appartement,3,2,71.0,,non défini,non défini,409500,1696,Lyon 5ème,Sauvegarder
2769,Appartement,2,1,47.0,,non défini,non défini,240000,998,Lyon 3ème,Sauvegarder
2770,Appartement,6,4,139.0,,non défini,non défini,892500,3687,Lyon 4ème,À voir sur Belles Demeures
2771,Appartement,4,3,125.0,,non défini,non défini,885000,3656,Lyon 6ème,À voir sur Belles Demeures
2772,Appartement,5,4,125.0,,non défini,non défini,500000,2069,Lyon 8ème,Sauvegarder
2773,Appartement,3,2,92.0,,non défini,non défini,495000,2049,Lyon 8ème,Sauvegarder
2774,Appartement,2,1,59.0,,non défini,non défini,475000,1966,Lyon 6ème,Sauvegarder
2775,Appartement,3,2,70.0,,non défini,non défini,483000,1999,Lyon 6ème,Sauvegarder
2776,Appartement,2,1,45.0,,non défini,non défini,290000,1204,Lyon 2ème,Sauvegarder
2777,Appartement,4,2,85.0,,non défini,non défini,312000,1295,Lyon 8ème,Sauvegarder
2778,Appartement,2,1,63.0,,non défini,non défini,448000,1855,Lyon 2ème,Sauvegarder
2779,Appartement,3,2,63.0,,non défini,non défini,329000,1365,Lyon 9ème,Sauvegarder
2780,Appartement,3,2,65.0,,non défini,non défini,364000,1509,Lyon 3ème,Sauvegarder
2781,Appartement,4,3,127.0,,non défini,non défini,1046000,4319,Lyon 3ème,Sauvegarder
2782,Appartement,1,,24.0,,non défini,oui,175000,730,Lyon 4ème,Sauvegarder
2783,Appartement,5,4,126.0,,non défini,non défini,1126788,4652,Lyon 2ème,Sauvegarder
2784,Appartement,4,3,129.0,,non défini,non défini,735000,3038,Lyon 7ème,Sauvegarder
2785,Appartement,3,2,75.0,,non défini,non défini,750000,3100,Lyon 2ème,À voir sur Belles Demeures
2786,Appartement,4,3,83.0,,non défini,non défini,333000,1381,Lyon 8ème,Sauvegarder
2787,Appartement,4,3,135.0,,non défini,non défini,680000,2811,Lyon 1er,Sauvegarder
2788,Appartement,1,,20.0,,non défini,non défini,114000,479,Lyon 7ème,Sauvegarder
2789,Appartement,5,4,105.0,,non défini,non défini,430000,1781,Lyon 7ème,Sauvegarder
2790,Appartement,2,2,40.0,,non défini,non défini,320000,1328,Lyon 1er,Sauvegarder
2791,Appartement,2,1,60.0,,non défini,non défini,320000,1328,Lyon 1er,Sauvegarder
2792,Appartement,2,1,41.0,,non défini,non défini,265000,1101,Lyon 4ème,Sauvegarder
2793,Appartement,4,2,125.0,,non défini,non défini,545000,2255,Lyon 1er,Sauvegarder
2794,Appartement,3,2,60.0,,non défini,non défini,335000,1389,Lyon 1er,Sauvegarder
2795,Appartement,3,2,72.0,,non défini,non défini,475000,1966,Lyon 3ème,Sauvegarder
2796,Appartement,2,1,54.0,,non défini,non défini,290000,1204,Lyon 2ème,Sauvegarder
2797,Appartement,2,1,47.0,,non défini,non défini,302000,1253,Lyon 7ème,Sauvegarder
2798,Appartement,3,2,55.0,,non défini,non défini,342000,1418,Lyon 7ème,Sauvegarder
2799,Appartement,4,3,76.0,,non défini,non défini,330000,1369,Lyon 8ème,Sauvegarder
2800,Appartement,3,2,84.0,,non défini,non défini,435000,1802,Lyon 4ème,Sauvegarder
2801,Appartement,8,6,239.0,,non défini,non défini,1650000,6808,Lyon 2ème,À voir sur Belles Demeures
2802,Appartement,1,,37.0,,non défini,oui,180000,751,Lyon 7ème,Sauvegarder
2803,Appartement,3,2,71.0,,non défini,non défini,495000,2049,Lyon 2ème,Sauvegarder
2804,Appartement,2,1,46.0,,non défini,non défini,175000,730,Lyon 5ème,Sauvegarder
